year,month,period,period_desc,aggregate_level,is_leaf_code,trade_code,trade_flow,reporter_iso,reporter,partner_iso,partner,commodity_code,commodity,mot_code,mot_desc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,IsNetWgtEstimated,netweight_kg,trade_value_us,cifvalue,fobvalue,IsReported,IsAggregate,continent
2017,1,2017-01-01,201701,4,FALSE,M,Import,DZA,Algeria,CMR,Cameroon,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,2,35.763,35.763,0,FALSE,TRUE,Africa
2017,1,2017-01-01,201701,4,FALSE,M,Import,AZE,Azerbaijan,GEO,Georgia,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,13,200,200,0,FALSE,TRUE,Asia
2017,1,2017-01-01,201701,4,FALSE,M,Import,AZE,Azerbaijan,KAZ,Kazakhstan,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,7898570,2230294.86,2230294.86,0,FALSE,TRUE,Asia
2017,1,2017-01-01,201701,4,FALSE,M,Import,AZE,Azerbaijan,GBR,United Kingdom,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,192,21389.42,21389.42,0,FALSE,TRUE,Asia
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUS,Australia,BRN,Brunei,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,38030600,FALSE,FALSE,38030600,14499631.718,14499631.718,14497169.844,FALSE,TRUE,Oceania
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUS,Australia,GAB,Gabon,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,119688000,FALSE,FALSE,119688000,44084604.789,44084604.789,40266941.411,FALSE,TRUE,Oceania
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUS,Australia,IDN,Indonesia,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,184741000,FALSE,FALSE,184741000,71453134.342,71453134.342,67712153.591,FALSE,TRUE,Oceania
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUS,Australia,MYS,Malaysia,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,679545000,FALSE,FALSE,679545000,254716424.03,254716424.03,249460320.044,FALSE,TRUE,Oceania
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUS,Australia,NZL,New Zealand,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,91963200,FALSE,FALSE,91963200,34438764.43,34438764.43,34155574.044,FALSE,TRUE,Oceania
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUS,Australia,PNG,Papua New Guinea,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,107859000,FALSE,FALSE,107859000,40000587.51,40000587.51,38532604.349,FALSE,TRUE,Oceania
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUS,Australia,RUS,Russia,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,97560500,FALSE,FALSE,97560500,37706521.924,37706521.924,36181043.874,FALSE,TRUE,Oceania
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUS,Australia,VNM,Vietnam,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,28540900,FALSE,FALSE,28540900,10822573.497,10822573.497,10362954.142,FALSE,TRUE,Oceania
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUS,Australia,ARE,United Arab Emirates,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,334149000,FALSE,FALSE,334149000,118890959.681,118890959.681,114449998.477,FALSE,TRUE,Oceania
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUT,Austria,DZA,Algeria,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,48331000,21625365.871,21625365.871,0,FALSE,TRUE,Europe
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUT,Austria,CZE,Czechia,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,2270151,882935.143,882935.143,0,FALSE,TRUE,Europe
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUT,Austria,FRA,France,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,606,5177.509,5177.509,0,FALSE,TRUE,Europe
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUT,Austria,IRN,Iran,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,41269000,15088661.795,15088661.795,0,FALSE,TRUE,Europe
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUT,Austria,KAZ,Kazakhstan,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,246474000,108490565.826,108490565.826,0,FALSE,TRUE,Europe
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUT,Austria,LBY,Libya,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,70057000,30357358.259,30357358.259,0,FALSE,TRUE,Europe
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUT,Austria,MEX,Mexico,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,72602000,29539627.041,29539627.041,0,FALSE,TRUE,Europe
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUT,Austria,NGA,Nigeria,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,123782000,53040170.414,53040170.414,0,FALSE,TRUE,Europe
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUT,Austria,RUS,Russia,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,97241000,40894511.837,40894511.837,0,FALSE,TRUE,Europe
2017,1,2017-01-01,201701,4,FALSE,M,Import,AUT,Austria,SVK,Slovakia,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,859105,346263.706,346263.706,0,FALSE,TRUE,Europe
2017,1,2017-01-01,201701,4,FALSE,M,Import,BHR,Bahrain,BEL,Belgium,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,1425,FALSE,FALSE,1425,5244.247,5244.247,0,FALSE,TRUE,Asia
2017,1,2017-01-01,201701,4,FALSE,M,Import,BHR,Bahrain,FRA,France,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,200,FALSE,FALSE,200,453.244,453.244,0,FALSE,TRUE,Asia
2017,1,2017-01-01,201701,4,FALSE,M,Import,BHR,Bahrain,OMN,Oman,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,1160,FALSE,FALSE,1160,2060.209,2060.209,0,FALSE,TRUE,Asia
2017,1,2017-01-01,201701,4,FALSE,M,Import,BHR,Bahrain,SAU,Saudi Arabia,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,925184074.533,TRUE,TRUE,925184074.533,371353999.981,371353999.981,0,FALSE,TRUE,Asia
2017,1,2017-01-01,201701,4,FALSE,M,Import,BHR,Bahrain,ARE,United Arab Emirates,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,34828,FALSE,FALSE,34828,79198.191,79198.191,0,FALSE,TRUE,Asia
2017,1,2017-01-01,201701,4,FALSE,M,Import,BHR,Bahrain,EGY,Egypt,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,696,FALSE,FALSE,696,2487.815,2487.815,0,FALSE,TRUE,Asia
2017,1,2017-01-01,201701,4,FALSE,M,Import,BHR,Bahrain,GBR,United Kingdom,2709,Petroleum oils and oils obtained from bituminous minerals; crude,0,TOTAL MOT,8,kg,12,FALSE,FALSE,12,148.936,148.936,0,FALSE,TRUE,Asia
