year,date,marz,settlement,members,weight,totincome
2023,2023-10-01,3,rural,5,222.13888888888889,626600.4464285715
2023,2023-09-01,10,urban,5,51.43518518518519,154872.61904761905
2023,2023-08-01,4,urban,4,109.82407407407408,350921.35349999997
2023,2023-05-01,1,Yerevan,2,92.6574074074074,165548
2023,2023-09-01,2,rural,6,122.71759259259258,853792.2002620535
2023,2023-06-01,3,urban,3,91.06481481481482,195750
2023,2023-02-01,1,Yerevan,2,21.48148148148148,271255.555
2023,2023-03-01,2,urban,2,76.87037037037038,308213.888924375
2023,2023-11-01,10,urban,2,51.43518518518519,116773.777
2023,2023-09-01,9,urban,1,117.4537037037037,141186.1111
2023,2023-08-01,11,urban,3,138.21296296296296,94258.63094904761
2023,2023-09-01,6,urban,2,156.33024691358025,91733.33350000001
2023,2023-11-01,1,Yerevan,9,173.9537037037037,861365.2778
2023,2023-12-01,11,urban,3,138.21296296296296,311171.23014761903
2023,2023-08-01,2,rural,1,122.71759259259258,166657.2779425
2023,2023-04-01,10,rural,5,40.74537037037037,443353.9648095238
2023,2023-09-01,5,rural,6,156.84259259259258,232709.99489523808
2023,2023-05-01,1,Yerevan,3,326.8796296296296,159402.18242857145
2023,2023-06-01,1,Yerevan,1,24.02777777777778,344654.5238095238
2023,2023-06-01,1,Yerevan,7,21.48148148148148,299309.723
2023,2023-09-01,3,urban,1,91.06481481481482,162452.77776666667
2023,2023-06-01,8,rural,1,126.65740740740742,161835.02531511904
2023,2023-10-01,9,urban,1,117.4537037037037,91250
2023,2023-08-01,6,rural,5,146.66666666666666,313891.2784285714
2023,2023-10-01,3,urban,1,91.06481481481482,240769.93914285713
2023,2023-04-01,10,rural,1,40.74537037037037,67315.17071369047
2023,2023-10-01,9,urban,4,117.4537037037037,317325
2023,2023-04-01,6,urban,2,156.33024691358025,206094.24614285713
2023,2023-01-01,11,urban,5,138.21296296296296,241168.50212857142
2023,2023-01-01,1,Yerevan,2,254.35185185185185,263236.12
2023,2023-06-01,4,urban,3,109.82407407407408,490000
2023,2023-10-01,6,urban,1,156.33024691358025,75438.889
2023,2023-12-01,4,urban,2,109.82407407407408,215406.94446
2023,2023-12-01,1,Yerevan,5,24.02777777777778,1032667.5596797619
2023,2023-06-01,10,urban,4,51.43518518518519,382774.7775190476
2023,2023-05-01,7,urban,5,199.56944444444446,380977.7778
2023,2023-07-01,2,urban,5,76.87037037037038,126366.0714952381
2023,2023-08-01,8,rural,5,126.65740740740742,168200.98214285713
2023,2023-02-01,10,rural,6,40.74537037037037,119066.39370476191
2023,2023-12-01,9,urban,2,117.4537037037037,107363.8887
2023,2023-04-01,6,urban,1,156.33024691358025,75600
2023,2023-08-01,1,Yerevan,5,24.02777777777778,1265100
2023,2023-09-01,8,rural,4,126.65740740740742,288530.4811580357
2023,2023-12-01,8,rural,2,126.65740740740742,199882.38200238094
2023,2023-08-01,1,Yerevan,1,310.21296296296293,324300
2023,2023-02-01,4,urban,2,109.82407407407408,675600
2023,2023-05-01,1,Yerevan,1,92.6574074074074,112388.5
2023,2023-06-01,1,Yerevan,2,254.35185185185185,780245.993
2023,2023-06-01,1,Yerevan,2,247.47222222222223,88400
2023,2023-07-01,4,urban,3,109.82407407407408,672594
2023,2023-06-01,5,urban,2,192.63888888888889,158100
2023,2023-11-01,1,Yerevan,5,21.48148148148148,480927.7778
2023,2023-06-01,8,urban,4,185.76851851851853,271766.66599999997
2023,2023-03-01,10,rural,3,40.74537037037037,193335.0195522619
2023,2023-11-01,1,Yerevan,5,118.38888888888889,450402.781
2023,2023-06-01,2,rural,6,122.71759259259258,707581.7065989284
2023,2023-10-01,11,rural,8,99.79629629629629,322838.8585714286
2023,2023-04-01,11,rural,7,99.79629629629629,556951.388608631
2023,2023-05-01,4,urban,2,109.82407407407408,104427.7778
2023,2023-03-01,10,rural,2,40.74537037037037,152175.81205
2023,2023-01-01,7,urban,4,199.56944444444446,322883.333
2023,2023-11-01,2,rural,5,122.71759259259258,467484.3578908929
2023,2023-08-01,3,rural,5,222.13888888888889,1023975.9821428572
2023,2023-02-01,3,rural,7,222.13888888888889,267081.84576011903
2023,2023-12-01,9,urban,4,117.4537037037037,464407.6388666667
2023,2023-08-01,1,Yerevan,5,247.47222222222223,259056.60256410256
2023,2023-07-01,6,urban,3,156.33024691358025,376755.56299999997
2023,2023-07-01,1,Yerevan,5,254.35185185185185,473172.223
2023,2023-12-01,1,Yerevan,2,118.38888888888889,447509.5231428571
2023,2023-02-01,1,Yerevan,5,254.35185185185185,65427.777799999996
2023,2023-01-01,9,rural,6,117.31481481481481,692269.3208809524
2023,2023-07-01,4,rural,3,192.15740740740742,638112.4645
